Fecha,Descripcion,Referencia,Cargo,Abono,Saldo
2026-02-01,SALDO INICIAL,,0.00,0.00,11200.10
2026-02-03,DEP TRANSFERENCIA CUOTA MANTENIMIENTO DEPTO 101,EA-PAY-0001,0.00,1450.10,12650.20
2026-02-04,DEP SPEI CUOTA MANTENIMIENTO DEPTO 205,EA-PAY-0002,0.00,1200.00,13850.20
2026-02-05,DEP TRANSFERENCIA CUOTA EXTRAORDINARIA DEPTO 310,EA-PAY-0003,0.00,2500.00,16350.20
2026-02-07,PAGO PROVEEDOR LIMPIEZA FACTURA A-155,EA-EXP-1001,550.00,0.00,15800.20
2026-02-09,PAGO SERVICIO AGUA FEBRERO,EA-EXP-1002,1200.00,0.00,14600.20
2026-02-10,PAGO PROVEEDOR MANTENIMIENTO ELEVADOR,EA-EXP-1003,3500.00,0.00,11100.20
2026-02-12,DEP SPEI CUOTA MANTENIMIENTO DEPTO 404,EA-PAY-0004,0.00,1450.00,12550.20
2026-02-14,PAGO HONORARIOS ADMINISTRADOR,EA-EXP-1004,8500.00,0.00,4050.20
2026-02-17,DEP TRANSFERENCIA CUOTA MANTENIMIENTO DEPTO 512,EA-PAY-0005,0.00,1450.00,5500.20
2026-02-20,PAGO SEGURO INMUEBLE FEB,EA-EXP-1005,2200.50,0.00,3299.70
2026-02-22,DEP EXTRAORDINARIO OBRA FACHADA DEPTO 101,EA-PAY-0006,0.00,5000.00,8299.70
2026-02-25,COMISION BANCARIA MENSUAL,EA-EXP-1006,250.00,0.00,8049.70
2026-02-27,DEP TRANSFERENCIA CUOTA MANTENIMIENTO DEPTO 608,EA-PAY-0007,0.00,1450.00,9499.70
2026-02-28,PAGO SERVICIO LUZ AREAS COMUNES,EA-EXP-1007,1800.00,0.00,7699.70
